,# Records,# Instances,publication_country_name
1,3460,3460,United States of America
2,808,808,WIPO (PCT)
3,366,366,Australia
4,355,355,China
5,244,244,European Patent Office
6,150,150,Russian Federation
7,130,130,Republic of Korea
8,82,82,France
9,78,78,United Kingdom
10,66,66,Germany
11,44,44,Japan
12,39,39,Canada
13,13,13,Ukraine
14,5,5,Romania
15,4,4,Brazil
16,4,4,Bulgaria
17,4,4,Eurasian Patent Organization
18,4,4,India
19,3,3,Czech Republic
20,3,3,Israel
21,3,3,Italy
22,3,3,Spain
23,3,3,Taiwan
24,2,2,Austria
25,2,2,Mexico
26,1,1,Belgium
27,1,1,Denmark
28,1,1,Greece
29,1,1,Lithuania
30,1,1,Poland
31,1,1,RS
32,1,1,Singapore
33,1,1,Sweden
34,1,1,Switzerland
