ipc_short,n
Aircraft,270.0
Weapons,168.0
Measuring,119.0
Agriculture,108.0
Computing,103.0
Medical,99.0
Control Systems,95.0
Electric Communication/Television,82.0
Direction Finding,59.0
Waterborne Vessels/Ships,58.0
Sports,51.0
Signalling,49.0
Foodstuffs,39.0
Loudspeakers/Microphones,33.0
Vehicles,29.0
Musical Instruments,28.0
Wireless Communication Networks,25.0
Biochemistry,24.0
Organic Chemistry,23.0
Combustion Engines,20.0
Electrical Elements,19.0
"Signs, Advertising",17.0
Engineering Elements or Units,16.0
Generating Electricity,16.0
Testing,12.0
Geophysics,10.0
Fire-Fighting/Life-Saving,9.0
Photography,9.0
Printed Circuits,9.0
Optics,7.0
Checking Devices,6.0
Conveying/Packing,6.0
Engines,6.0
Land Vehicles,6.0
Road Construction,5.0
Separation/Mixing,5.0
Tools,5.0
Hydraulic Engineering,4.0
Meteorology,4.0
Railways,4.0
Coatings,3.0
Drilling/Mining,3.0
Electric Heating,3.0
Heating/Ventilating,3.0
Locks,3.0
Machines,3.0
Macromolecular Compounds,3.0
Spraying/Atomising,3.0
Storing Gases/Liquids,3.0
Working Plastics,3.0
Animal/vegetable Oils,2.0
Baking,2.0
Combustion Apparatus,2.0
Dyes/Paints,2.0
Electronic Circuitry,2.0
Fluid Pressure Actuators,2.0
Information Storage,2.0
Lighting,2.0
Mechanica Vibrations,2.0
Nanotechnology,2.0
Nuclear Reactors,2.0
Alloys,1.0
Building,1.0
Cleaning,1.0
Crystal Growth,1.0
Doors,1.0
Drying,1.0
Electrolytic/Electrophoretic Processes,1.0
Explosives,1.0
Headwear,1.0
Inorganic Chemistry,1.0
Jewellery,1.0
Layered Products,1.0
Opening Containers,1.0
Separating Solids,1.0
Textiles,1.0
Treatment of Waste Water,1.0
Water Supply,1.0
